Bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,zipcode,sqft_living15,sqft_lot15,price_range
2,1,[692-892],[2021-3523],1,0,Very Poor,Good,Bad Quality And Design,[540-789],NoBasement,1918,98107,[1403-1653],[3851-4050],[400000-500000)
2,1,[1295-1495],[8030-8780],1.5,0,Very Poor,OK,Average Quality And Design,[1040-1289],[161-311],1944,98177,[1654-1904],[8051-8450],[300000-400000)
3,1.5,[1697-1897],[5026-5776],1,0,Very Poor,OK,Average Quality And Design,[790-1039],[765-915],1958,98115,[1654-1904],[7251-7650],[400000-500000)
3,2.5,[2099-2299],[3524-4274],3,0,Very Poor,Excellent,Good Quality And Desgin,[2040-2289],NoBasement,1990,98109,[1905-2155],[3451-3650],[1000000-1100000)
3,1.75,[1295-1495],[10283-11870],2,0,Very Poor,OK,Average Quality And Design,[1290-1539],NoBasement,1994,98010,[1403-1653],[10451-10850],[100000-200000)
3,1.5,[1697-1897],[37541-54862],1,0,Very Poor,OK,Average Quality And Design,[1790-2039],NoBasement,1953,98168,[1654-1904],[13651-14050],[200000-300000)
3,1,[893-1093],[8781-9531],1,0,Very Poor,OK,Average Quality And Design,[790-1039],NoBasement,1954,98148,[1152-1402],[9251-9650],[200000-300000)
3,2.25,[2099-2299],[8781-9531],1,0,Very Poor,OK,Average Quality And Design,[1290-1539],[765-915],1987,98001,[1403-1653],[8451-8850],[100000-200000)
4,3.25,[3104-3304],[10283-11870],2,0,Very Poor,OK,Average Quality And Design,[2290-2539],[765-915],1992,98146,[1152-1402],[9651-10050],[400000-500000)
2,2.25,[2903-3103],[14751-21509],1,0,Very Poor,Good,Good Quality And Desgin,[1540-1789],[1369-1519],1942,98039,[1905-2155],[13651-14050],[1500000-1600000)
4,2.5,[2300-2500],[5026-5776],2,0,Very Poor,OK,Good Quality And Desgin,[2290-2539],NoBasement,2005,98038,[2156-2406],[4851-5250],[300000-400000)
4,2.5,[2099-2299],[8781-9531],2,0,Very Poor,OK,Good Quality And Desgin,[2040-2289],NoBasement,1991,98133,[1905-2155],[8851-9250],[500000-600000)
4,2.5,[2702-2902],[4275-5025],2,0,Very Poor,OK,Good Quality And Desgin,[2540-2789],NoBasement,2014,98092,[2407-2657],[4851-5250],[400000-500000)
3,1.75,[1697-1897],[6528-7278],1,0,Very Poor,OK,Average Quality And Design,[1290-1539],[161-311],1959,98125,[1152-1402],[7651-8050],[600000-700000)
2,1,[1295-1495],[8030-8780],1,0,Very Poor,OK,Average Quality And Design,[1040-1289],[161-311],1949,98177,[1403-1653],[8051-8450],[300000-400000)
4,2.75,[2501-2701],[8030-8780],2,0,Poor,Good,Good Quality And Desgin,[1540-1789],[765-915],1964,98040,[2658-2908],[9651-10050],[1000000-1100000)
3,2.5,[2300-2500],[14751-21509],2,0,Good,OK,Good Quality And Desgin,[2290-2539],NoBasement,1995,98022,[1654-1904],[9251-9650],[300000-400000)
5,3.5,[4109-4309],[7279-8029],2,0,Very Poor,OK,Good Quality And Desgin,[4040-4289],NoBasement,2003,98075,[3160-3410],[6851-7250],[700000-800000)
5,2.5,[2702-2902],[11871-14750],2,0,Very Poor,OK,Good Quality And Desgin,[2540-2789],NoBasement,1987,98031,[1403-1653],[9651-10050],[300000-400000)
2,1,[692-892],[3524-4274],1,0,OK,Excellent,Bad Quality And Design,[790-1039],NoBasement,1922,98126,[1403-1653],[5651-6050],[400000-500000)
4,4.25,>=4511,[14751-21509],3,0,Excellent,Excellent,Very High Quality and Design,>=4290,NoBasement,1971,98177,[2909-3159],[13651-14050],[1500000-1600000)
4,2.5,[2300-2500],[8781-9531],1,0,Very Poor,Good,Average Quality And Design,[1290-1539],[1067-1217],1958,98056,[1152-1402],[8051-8450],[300000-400000)
4,2.5,[2099-2299],[6528-7278],1,0,Very Poor,Good,Average Quality And Design,[1040-1289],[1067-1217],1972,98034,[1654-1904],[7251-7650],[400000-500000)
4,1.75,[1898-2098],[37541-54862],1,0,Very Poor,Excellent,Average Quality And Design,[1040-1289],[765-915],1959,98038,[1905-2155],[13651-14050],[500000-600000)
3,2,[1295-1495],[8781-9531],2,0,Very Poor,Good,Average Quality And Design,[1290-1539],NoBasement,1972,98003,[1905-2155],[7651-8050],[200000-300000)
4,2.75,[2501-2701],[11871-14750],2,0,Very Poor,OK,Good Quality And Desgin,[2290-2539],NoBasement,1999,98019,[2156-2406],[13651-14050],[500000-600000)
5,2.75,[2903-3103],[6528-7278],1,0,Very Poor,Good,Average Quality And Design,[1540-1789],[1369-1519],1978,98032,[1654-1904],[7251-7650],[300000-400000)
3,2.75,[2903-3103],>=54863,2,0,Very Poor,OK,Good Quality And Desgin,[2790-3039],NoBasement,2000,98014,[2407-2657],[13651-14050],[700000-800000)
5,2.25,[1898-2098],[7279-8029],1,0,Very Poor,Good,Average Quality And Design,[1290-1539],[614-764],1986,98188,[1905-2155],[8851-9250],[300000-400000)
3,1.75,[1898-2098],[10283-11870],1.5,0,Very Poor,Excellent,Good Quality And Desgin,[2040-2289],NoBasement,1959,98005,[2407-2657],[10851-11250],[700000-800000)
4,2.5,[1697-1897],[6528-7278],2,0,Very Poor,OK,Average Quality And Design,[1540-1789],NoBasement,1997,98038,[1403-1653],[7251-7650],[300000-400000)
4,1.75,[3908-4108],[11871-14750],2,0,Very Poor,OK,Very High Quality and Design,[3790-4039],NoBasement,2006,98059,>=3913,[13651-14050],[1200000-1300000)
4,2,[1697-1897],[3524-4274],1,0,Very Poor,OK,Average Quality And Design,[790-1039],[765-915],1904,98144,[1654-1904],[1651-1850],[400000-500000)
3,1.5,[692-892],[7279-8029],1,0,Poor,Very Poor,Bad Quality And Design,[540-789],NoBasement,1924,98126,[2407-2657],[7251-7650],[200000-300000)
2,1,[893-1093],[4275-5025],1,0,Very Poor,OK,Average Quality And Design,[1040-1289],NoBasement,1937,98115,[1152-1402],[4451-4850],[400000-500000)
3,2.5,[2903-3103],[9532-10282],2,0,Very Poor,OK,Good Quality And Desgin,[3040-3289],NoBasement,2005,98004,[2909-3159],[9251-9650],[1200000-1300000)
2,1,[893-1093],[7279-8029],1,0,Very Poor,Good,Average Quality And Design,[1040-1289],NoBasement,1939,98133,[1403-1653],[7251-7650],[400000-500000)
4,1.75,[1898-2098],[8781-9531],1,0,Very Poor,Good,Good Quality And Desgin,[1790-2039],NoBasement,1968,98008,[1905-2155],[10051-10450],[600000-700000)
3,1.75,[1898-2098],[37541-54862],1,0,Very Poor,OK,Average Quality And Design,[1790-2039],NoBasement,1970,98059,[1905-2155],[13651-14050],[400000-500000)
4,3.5,[3305-3505],[8030-8780],2,0,Very Poor,OK,Very High Quality and Design,[2290-2539],[916-1066],2007,98199,[1905-2155],[7651-8050],[1400000-1500000)
2,1,[893-1093],[5026-5776],1,0,Very Poor,Excellent,Average Quality And Design,[790-1039],NoBasement,1949,98126,[1654-1904],[4451-4850],[300000-400000)
3,2.5,[2501-2701],[14751-21509],1,0,Very Poor,Good,Good Quality And Desgin,[2540-2789],NoBasement,1976,98042,[2909-3159],[13651-14050],[300000-400000)
3,1,[1295-1495],[5777-6527],1.5,0,Very Poor,Good,Average Quality And Design,[1290-1539],NoBasement,1920,98108,[1152-1402],[5651-6050],[200000-300000)
3,2,[1697-1897],[11871-14750],1,0,Very Poor,OK,Good Quality And Desgin,[1540-1789],NoBasement,1994,98001,[1905-2155],[11251-11650],[300000-400000)
3,1,[1295-1495],[9532-10282],2,0,Very Poor,OK,Average Quality And Design,[1290-1539],NoBasement,1950,98155,[1403-1653],[8451-8850],[300000-400000)
3,1,[1496-1696],[1270-2020],2,0,Very Poor,Poor,Average Quality And Design,[1540-1789],NoBasement,1906,98122,[1152-1402],[1051-1250],[300000-400000)
6,4.25,>=4511,>=54863,2,0,Very Poor,Good,Good Quality And Desgin,>=4290,>= 1671,2002,98077,>=3913,[13651-14050],[1100000-1200000)
2,2,[893-1093],[9532-10282],1,0,Very Poor,Excellent,Bad Quality And Design,[790-1039],NoBasement,1940,98146,[1654-1904],[8851-9250],[300000-400000)
3,1,[1094-1294],[6528-7278],1,0,Very Poor,Good,Average Quality And Design,[1040-1289],NoBasement,1972,98034,[1152-1402],[7251-7650],[300000-400000)
2,2,[1295-1495],[5777-6527],1,0,Very Poor,OK,Average Quality And Design,[1290-1539],NoBasement,1988,98011,[1654-1904],[4851-5250],[300000-400000)
4,2.25,[2903-3103],[9532-10282],1,0,Very Poor,Good,Good Quality And Desgin,[1790-2039],[1067-1217],1978,98005,[2407-2657],[9651-10050],[700000-800000)
4,1,[1898-2098],[10283-11870],1,0,Very Poor,Good,Average Quality And Design,[1290-1539],[463-613],1968,98027,[1654-1904],[12851-13250],[300000-400000)
3,1.75,[1898-2098],[6528-7278],1,0,Very Poor,OK,Average Quality And Design,[1290-1539],[614-764],1987,98030,[1403-1653],[7251-7650],[200000-300000)
5,3.5,[3104-3304],[4275-5025],2,0,Very Poor,OK,Good Quality And Desgin,[2540-2789],[463-613],2014,98006,[3411-3661],[5251-5650],[800000-900000)
3,2.5,[1496-1696],[1270-2020],2,0,Very Poor,Good,Average Quality And Design,[1040-1289],[312-462],1991,98107,[1403-1653],[1451-1650],[400000-500000)
5,2,[1898-2098],[3524-4274],1.5,0,OK,Good,Average Quality And Design,[1040-1289],[614-764],1908,98112,[1654-1904],[3851-4050],[600000-700000)
4,2.5,[2903-3103],[21510-37540],2,0,Very Poor,OK,Good Quality And Desgin,[2790-3039],NoBasement,1997,98038,[2658-2908],[13651-14050],[500000-600000)
4,2.25,[2300-2500],[6528-7278],1,0,Very Poor,Good,Good Quality And Desgin,[1790-2039],[463-613],1965,98034,[2156-2406],[6851-7250],[400000-500000)
2,1,[893-1093],[3524-4274],1,0,Very Poor,Excellent,Bad Quality And Design,[790-1039],NoBasement,1914,98002,[901-1151],[6051-6450],[100000-200000)
3,2.5,[1898-2098],[10283-11870],2,0,Very Poor,OK,Good Quality And Desgin,[1790-2039],NoBasement,1983,98052,[1905-2155],[10051-10450],[500000-600000)
4,2.5,[2300-2500],[7279-8029],2,0,Very Poor,OK,Good Quality And Desgin,[2290-2539],NoBasement,1983,98058,[2407-2657],[8051-8450],[400000-500000)
2,1.5,[1094-1294],[1270-2020],2,0,Very Poor,OK,Good Quality And Desgin,[1040-1289],NoBasement,2006,98116,[1403-1653],[1451-1650],[300000-400000)
3,1.75,[1697-1897],[6528-7278],2.5,0,Very Poor,Good,Good Quality And Desgin,[1790-2039],NoBasement,1979,98052,[1905-2155],[6851-7250],[400000-500000)
2,2,[1094-1294],[3524-4274],1,0,Very Poor,Good,Bad Quality And Design,[540-789],[614-764],1926,98105,[1152-1402],[4851-5250],[500000-600000)
5,2.25,[2702-2902],[8030-8780],2,1,Excellent,OK,Good Quality And Desgin,[2790-3039],NoBasement,1963,98075,[3160-3410],[8851-9250],[1800000-1900000)
4,2.75,[3305-3505],[5777-6527],2,0,Very Poor,OK,Good Quality And Desgin,[3040-3289],[312-462],2006,98052,[2909-3159],[6451-6850],[700000-800000)
3,1.75,[1094-1294],[8781-9531],1,0,Very Poor,OK,Average Quality And Design,[1040-1289],NoBasement,1978,98023,[1905-2155],[7651-8050],[200000-300000)
4,2.25,[2099-2299],[8781-9531],2,0,Very Poor,Good,Good Quality And Desgin,[2040-2289],NoBasement,1979,98052,[1905-2155],[9251-9650],[500000-600000)
4,2,[1496-1696],[14751-21509],1,0,Very Poor,OK,Bad Quality And Design,[790-1039],[463-613],1920,98188,[1654-1904],[7651-8050],[100000-200000)
3,2,[2099-2299],[14751-21509],1,0,Very Poor,Excellent,Good Quality And Desgin,[2290-2539],NoBasement,1960,98058,[1654-1904],[10451-10850],[400000-500000)
4,2.25,[2501-2701],[21510-37540],2,0,Very Poor,OK,Average Quality And Design,[2290-2539],NoBasement,1974,98031,[2407-2657],[13651-14050],[300000-400000)
3,1.75,[1094-1294],[8030-8780],1,0,Very Poor,OK,Average Quality And Design,[1040-1289],NoBasement,1959,98198,[1403-1653],[8051-8450],[200000-300000)
4,1,[1496-1696],[4275-5025],1.5,0,Very Poor,OK,Average Quality And Design,[1040-1289],[312-462],1945,98117,[1152-1402],[3851-4050],[500000-600000)
3,2.5,[1898-2098],[5026-5776],2,0,Very Poor,Good,Good Quality And Desgin,[1790-2039],NoBasement,1990,98029,[2156-2406],[4851-5250],[500000-600000)
3,1.75,[1295-1495],[8781-9531],1,0,Very Poor,Good,Average Quality And Design,[1290-1539],NoBasement,1978,98045,[1152-1402],[9651-10050],[200000-300000)
4,2.75,[1898-2098],[9532-10282],1,0,Very Poor,OK,Average Quality And Design,[1290-1539],[614-764],1962,98040,[1654-1904],[10051-10450],[700000-800000)
3,2,[893-1093],<=1269,2,0,Very Poor,OK,Average Quality And Design,[540-789],[161-311],2004,98126,[1152-1402],[1451-1650],[200000-300000)
3,2.5,[1898-2098],[8030-8780],2,0,Very Poor,OK,Good Quality And Desgin,[2040-2289],NoBasement,1951,98177,[1403-1653],[8051-8450],[400000-500000)
3,1.5,[1496-1696],[11871-14750],1,0,Very Poor,Good,Average Quality And Design,[1290-1539],NoBasement,1970,98045,[1403-1653],[13651-14050],[300000-400000)
3,1,[893-1093],[7279-8029],1,0,Very Poor,OK,Average Quality And Design,[790-1039],NoBasement,1951,98126,[1152-1402],[7251-7650],[200000-300000)
4,2.5,[2903-3103],[8030-8780],2,0,Very Poor,OK,Good Quality And Desgin,[2790-3039],NoBasement,2003,98033,[2407-2657],[8451-8850],[900000-1000000)
4,2.5,[3707-3907],[21510-37540],2,0,Very Poor,OK,Good Quality And Desgin,[3540-3789],NoBasement,1997,98006,[3160-3410],[10051-10450],[900000-1000000)
2,1.5,[893-1093],<=1269,2,0,Very Poor,OK,Average Quality And Design,[790-1039],<=160,2004,98125,[1152-1402],[1651-1850],[300000-400000)
4,2,[2099-2299],[8030-8780],1,0,Very Poor,OK,Average Quality And Design,[1040-1289],[765-915],1959,98106,[901-1151],[8051-8450],[200000-300000)
5,2,[2099-2299],[11871-14750],1,0,Very Poor,Good,Average Quality And Design,[1040-1289],[916-1066],1962,98031,[1905-2155],[11651-12050],[200000-300000)
4,3.25,[3305-3505],[5777-6527],3,0,Very Poor,OK,Good Quality And Desgin,[3290-3539],NoBasement,2014,98109,[2156-2406],[4051-4450],[1800000-1900000)
