pos,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,zipcode,sqft_living15,sqft_lot15
1,410000,3,2.25,1420,3750,2,0,0,3,7,1420,0,1987,98116,1430,4664
2,790000,4,3.5,3190,31450,2,0,0,3,9,3190,0,2010,98027,3000,72745
3,809950,4,2.5,3280,6181,2,0,0,3,10,3280,0,2001,98074,3110,7570
4,210000,3,1.75,1400,7300,2,0,0,3,6,1400,0,1948,98178,1440,10825
5,325000,2,1,1100,17817,1,0,0,3,7,620,480,1980,98019,1790,20009
6,196000,3,1,880,19600,1,0,0,4,7,880,0,1978,98023,880,10500
7,865000,3,3.75,3830,219106,2,0,0,3,9,3830,0,1977,98027,2440,219106
8,476500,3,1,1200,6120,1,0,0,4,7,950,250,1945,98115,1550,6120
9,240000,4,2.5,1980,7264,2,0,0,3,7,1980,0,1996,98038,1600,6380
10,2110000,3,2.25,3230,17833,2,0,0,4,9,3230,0,1973,98006,3690,17162
11,445950,3,1.75,1300,7800,1,0,0,5,7,1300,0,1968,98034,1520,7344
12,297262,3,2.5,1730,8076,2,0,0,3,8,1730,0,1994,98003,1780,6930
13,490000,2,1,1760,5250,1,0,2,4,7,1000,760,1951,98126,1760,5400
14,306000,3,2.5,2588,5702,2,0,0,3,8,2588,0,2008,98042,2403,5703
15,1450000,5,4,4070,11334,2,0,0,3,10,4070,0,2014,98033,2640,9401
16,711000,4,2.5,2095,4400,1.5,0,0,5,8,1295,800,1910,98116,1980,4400
17,525000,4,2.5,2910,7631,2,0,2,3,9,2910,0,2006,98038,3190,5552
18,595000,4,2.5,2910,7287,2,0,0,3,8,2910,0,1998,98065,2420,6180
19,850000,4,3.75,3890,22000,2,0,0,3,10,3890,0,2007,98027,1610,23142
20,348000,3,1.75,1830,2417,1,0,0,3,7,930,900,1919,98144,1320,3200
21,319000,2,1,960,4400,1,0,0,4,7,960,0,1951,98118,1520,5000
22,300000,3,2,1050,10072,1,0,0,3,7,1050,0,1986,98019,1130,10087
23,716000,4,2.25,2480,9780,1,0,0,4,8,1900,580,1975,98052,2640,9780
24,425000,3,2.25,1400,6970,2,0,0,3,8,1400,0,1984,98006,1800,8140
25,539000,3,2.5,2830,9972,2,0,0,3,9,2830,0,2006,98019,3557,9159
26,665000,5,2.75,2330,8000,1,0,0,4,7,1550,780,1972,98052,1750,8419
27,505000,2,2.25,1060,1209,2,0,0,3,8,940,120,2006,98102,1300,1169
28,569950,5,1,1420,6250,1.5,0,0,4,8,1420,0,1926,98116,1420,6250
29,425000,3,2.25,1630,10500,1,0,0,3,7,1100,530,1974,98034,1640,9794
30,185850,3,1.5,1630,11662,1,0,0,3,7,1630,0,1943,98188,1700,11662
31,470000,5,1.75,2740,9600,1,0,0,4,7,1370,1370,1945,98144,1990,4800
32,275000,3,1.75,1300,20700,1,0,0,3,7,1300,0,1962,98024,1930,37638
33,284000,3,1.75,1800,23103,1,0,0,3,7,1800,0,1968,98014,1410,18163
34,262500,2,1.5,1140,14373,1,0,0,3,7,1140,0,1949,98011,2140,9860
35,212000,3,1.5,1010,10000,1,0,0,4,7,1010,0,1973,98003,2420,34637
36,197000,3,1,1090,17630,1,0,0,4,7,1090,0,1962,98002,1300,12000
37,358800,4,2.5,2155,8140,2,0,0,3,8,2155,0,1996,98031,2155,7245
38,789900,3,2.5,3420,25150,1,0,0,4,10,1750,1670,1987,98006,2900,19604
39,296000,2,1,1370,8400,1,0,0,3,7,1370,0,1948,98133,1330,8396
40,645000,3,2.25,1640,1023,3,0,0,3,8,1640,0,2014,98105,1720,1960
41,318888,4,1.75,2320,12000,1,0,0,4,8,2270,50,1973,98032,2120,9880
42,325000,2,1,830,5100,1,0,0,3,6,830,0,1941,98103,1050,5100
43,740000,3,1.75,2020,9478,1,0,0,4,9,2020,0,1961,98040,3050,15594
44,1430000,2,2.5,2220,4000,2,0,0,3,9,2220,0,2000,98112,1870,4000
45,853000,4,2.25,3440,35025,2,0,0,3,10,3440,0,1988,98053,3210,35005
46,300500,2,1.5,1190,801,3,0,0,3,8,1190,0,2010,98106,1190,810
47,385000,3,1.75,1300,7030,1,0,0,3,7,1300,0,1968,98034,1450,7650
48,360400,3,2.5,1630,11592,2,0,0,3,8,1630,0,1987,98011,1700,8850
49,1230000,5,4,4390,6656,2,0,0,3,9,2930,1460,2008,98199,1560,6656
50,236000,3,1.75,1090,7647,1,0,0,3,7,1090,0,1994,98003,1660,9219
51,399000,3,2.5,1740,3690,2,0,0,3,8,1740,0,2000,98065,2100,4944
52,770000,3,2.5,3680,35617,1,0,0,3,10,2390,1290,1985,98052,3570,35633
53,249950,3,1.5,1090,7698,1,0,0,5,7,1090,0,1966,98058,1540,7624
54,392500,4,2,1950,8040,1,0,0,3,7,1950,0,1961,98125,1950,8092
55,530000,3,1.75,1520,9605,1,0,0,3,7,1520,0,1975,98052,2040,9900
56,165000,3,1,1010,7690,1,0,0,4,6,1010,0,1958,98058,1010,7619
57,375000,3,1,1000,6947,1,0,0,4,7,1000,0,1947,98125,1000,6947
58,839000,3,2.5,3200,203425,1,0,0,3,10,3200,0,2000,98077,3200,203425
59,482500,2,2.5,1170,809,2,0,0,3,9,1170,0,2007,98103,1170,1121
60,155000,2,1,810,4755,1,0,0,3,7,810,0,1980,98118,1180,4755
61,453000,3,2.5,1510,1618,2.5,0,0,3,8,1330,180,2011,98199,1350,1397
62,540000,4,1.75,1630,6120,1,0,0,5,7,980,650,1918,98115,1630,4080
63,525000,2,1.5,1480,43645,1,0,0,3,8,1480,0,1974,98027,1600,34326
64,400000,5,1.75,2300,6720,2,0,0,3,7,2300,0,1905,98108,1200,6000
65,440000,4,2.75,2420,10200,1,0,0,3,8,1220,1200,1962,98034,2240,9750
66,1310000,4,2.25,3750,5000,2,0,0,5,8,2440,1310,1924,98115,2170,4590
67,896000,4,2.5,3560,46644,2,0,0,3,11,3560,0,1992,98077,3520,50261
68,430000,3,1,1740,4800,1,0,0,3,8,1740,0,1952,98118,1600,4800
69,245000,3,2.25,1900,7250,1,0,0,3,7,1250,650,1967,98146,1560,9420
70,266490,3,2.5,1810,4113,2,0,0,3,7,1810,0,2004,98042,1880,4465
