Int32,String,DateTime,Double,Int32,Double,String,String,Double,Boolean,String,String,String,String,String,Int32,String,String,String,String
pos,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,zipcode,sqft_living15,sqft_lot15,price_range
1,4139910160,20150401T000000,1.60E+06,5,3.25,[4310-4510],[21510-37540],2,0,Very Poor,OK,Very High Quality and Design,>=4290,NoBasement,1990,98006,>=3913,[13651-14050],[1600000-1700000)
2,3123059107,20140520T000000,555000,3,2.5,[2903-3103],>=54863,1,0,Very Poor,Good,Good Quality And Desgin,[3040-3289],NoBasement,1987,98055,[2909-3159],[13651-14050],[500000-600000)
3,3904960150,20150423T000000,535000,3,2.5,[1898-2098],[6528-7278],2,0,Very Poor,OK,Good Quality And Desgin,[1790-2039],NoBasement,1989,98029,[1905-2155],[6051-6450],[500000-600000)
4,5100402767,20141014T000000,397000,3,1,[692-892],[5777-6527],1.5,0,Very Poor,Good,Average Quality And Design,[790-1039],NoBasement,1927,98115,[1152-1402],[6051-6450],[300000-400000)
5,1253200290,20150212T000000,265000,4,1.75,[1697-1897],[8781-9531],1,0,Very Poor,Good,Average Quality And Design,[1040-1289],[614-764],1963,98032,[1403-1653],[8851-9250],[200000-300000)
6,217500015,20150224T000000,394999,3,1.5,[1697-1897],[7279-8029],1,0,Very Poor,OK,Average Quality And Design,[1290-1539],[312-462],1958,98133,[1654-1904],[8051-8450],[300000-400000)
7,3810000860,20150506T000000,240000,4,1.5,[1898-2098],[7279-8029],1,0,Very Poor,OK,Good Quality And Desgin,[1790-2039],NoBasement,1955,98178,[1905-2155],[8451-8850],[200000-300000)
8,2926069062,20140811T000000,840000,3,2.5,[2903-3103],[21510-37540],1,0,Very Poor,OK,Good Quality And Desgin,[3040-3289],NoBasement,2004,98052,[1905-2155],[13651-14050],[800000-900000)
9,7212680860,20150209T000000,297262,3,2.5,[1697-1897],[8030-8780],2,0,Very Poor,OK,Good Quality And Desgin,[1540-1789],NoBasement,1994,98003,[1654-1904],[6851-7250],[200000-300000)
10,3856905010,20140805T000000,565000,3,1.5,[1496-1696],[3524-4274],1.5,0,Very Poor,Excellent,Average Quality And Design,[1290-1539],<=160,1930,98105,[1403-1653],[4051-4450],[500000-600000)
11,9528104345,20140923T000000,475000,3,2.25,[1094-1294],<=1269,2,0,Very Poor,OK,Average Quality And Design,[790-1039],[161-311],1999,98115,[1152-1402],[1051-1250],[400000-500000)
12,7203160190,20141029T000000,950000,5,4,[3908-4108],[8030-8780],2,0,Very Poor,OK,Good Quality And Desgin,[4040-4289],NoBasement,2011,98053,>=3913,[7251-7650],[900000-1000000)
13,6306100190,20140521T000000,220000,4,2.5,[2099-2299],[7279-8029],2,0,Very Poor,OK,Average Quality And Design,[2040-2289],NoBasement,1993,98001,[1654-1904],[7651-8050],[200000-300000)
14,5452800495,20150422T000000,899100,5,2.5,[2300-2500],[14751-21509],1,0,Very Poor,Good,Good Quality And Desgin,[1290-1539],[916-1066],1975,98040,[2407-2657],[13651-14050],[800000-900000)
