pos,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,zipcode,sqft_living15,sqft_lot15
1,370000,4,2.5,2100,19680,1.5,0,0,3,6,2100,0,1914,98055,1340,12300
2,255000,3,1,1140,8528,1,0,0,5,7,1140,0,1967,98022,1140,8112
3,585000,4,1.75,2500,7000,1,0,0,3,7,1250,1250,1947,98199,1680,7000
4,216500,2,1,710,6960,1,0,0,4,6,710,0,1943,98178,940,7680
5,330000,3,1.75,1510,15744,1,0,0,3,7,1510,0,1985,98045,1470,15744
6,650000,3,1.75,1550,5000,1,0,0,3,7,1250,300,1911,98107,1110,5000
7,389950,3,2.5,2170,8140,2,0,0,3,9,2170,0,1994,98030,2390,8100
8,1270000,5,2.5,3200,17204,1,0,0,3,7,2160,1040,1952,98004,4090,15732
9,402500,3,1.75,1480,2211,2,0,0,3,7,1480,0,1995,98103,1480,2197
10,409950,3,1.75,1320,6030,1,0,0,4,7,1320,0,1969,98052,1840,6565
11,190000,5,2,1750,10284,1,0,0,4,5,1750,0,1943,98056,1560,9010
12,240000,2,1.5,1078,1263,2,0,0,3,7,1078,0,1990,98028,1078,1263
13,425000,4,2,1520,7983,1,0,0,5,7,1520,0,1967,98034,1520,7783
14,190000,1,0.75,780,77603,1,0,0,1,5,780,0,1945,98058,1750,30847
15,570000,4,2,2000,46902,2,0,0,3,8,2000,0,1978,98075,2420,38130
16,218250,3,1.5,1080,9774,1,0,0,3,7,1080,0,1968,98023,1190,9611
17,390000,3,1.75,1220,216332,1,0,0,3,7,1220,0,1981,98019,1540,61419
18,340000,2,2,1250,1178,2,0,0,3,7,980,270,1996,98136,1270,1242
19,445000,4,2.5,2280,42077,2,0,0,3,8,2280,0,1994,98042,2280,36236
20,278000,4,2.5,2290,3777,2,0,0,3,7,2290,0,2004,98198,1480,3608
21,820000,4,2.5,2440,5737,2,0,0,4,8,1700,740,1929,98119,2020,5543
22,240000,3,1,1600,12566,1,0,0,4,7,1600,0,1971,98045,1600,10650
23,200000,4,1,1020,42966,1.5,0,0,4,6,1020,0,1922,98072,2250,37680
24,225000,3,1,960,5512,1,0,0,4,6,960,0,1963,98056,1090,5837
25,728935,4,2.5,2980,10194,2,0,0,3,9,2980,0,1993,98006,2980,10053
26,545000,3,2.5,1990,5149,2,0,0,3,8,1990,0,2003,98075,2280,4506
27,473000,3,2.25,1890,12236,1,0,0,3,8,1890,0,1978,98074,2390,12323
28,390000,2,1,962,1992,2,0,0,3,7,962,0,2012,98115,1130,1992
29,1300000,4,1.75,4060,5500,2,0,0,5,9,2660,1400,1924,98102,3320,5500
30,370000,5,3,2670,9920,1,0,0,3,8,1400,1270,1990,98001,1890,10341
31,1160000,4,2.5,3860,10361,2,0,2,4,10,2940,920,1985,98006,3720,13155
32,775000,4,3.5,3970,210830,2,0,0,3,9,3970,0,2000,98045,1680,42665
33,220000,3,1.75,1720,7587,1,0,0,4,7,1140,580,1981,98092,1120,7287
34,455000,4,3,2480,9238,1,0,0,5,7,2050,430,1913,98166,1820,12214
35,365000,3,1.75,1290,7205,1.5,0,0,3,7,1290,0,1971,98034,1340,7214
36,549500,3,1.75,1620,8438,1,0,0,4,8,1620,0,1961,98125,2040,9450
37,281000,3,1,1300,5782,1,0,0,4,6,1300,0,1959,98065,1020,7200
38,380000,3,1.5,1520,4288,1,0,0,3,7,1020,500,1949,98136,1660,4288
39,280000,4,1,1880,6288,1,0,0,3,7,1120,760,1974,98178,1880,6334
40,260000,3,2.25,1413,3403,2,0,0,3,8,1413,0,2009,98031,1763,3719
41,280000,3,1,1330,20562,1.5,0,0,3,5,1330,0,1959,98045,1350,20562
42,285000,4,2.25,1830,8734,2,0,0,4,7,1830,0,1991,98030,1870,7212
43,270000,3,1.75,1370,10866,1,0,0,4,6,1370,0,1945,98052,1580,14250
44,225000,3,1,900,6099,1,0,0,3,6,790,110,1944,98168,1240,6099
45,300000,2,1,760,3001,1,0,0,3,6,760,0,1913,98144,1750,5000
46,495000,5,2.5,2200,4942,2,0,0,3,8,2200,0,1989,98029,2200,5924
47,168000,2,1.5,1220,3568,1.5,0,0,4,8,1220,0,1976,98198,1180,3678
48,156000,2,1.75,590,6138,1,0,0,2,5,590,0,1947,98118,1360,7112
49,425000,4,1,1480,8321,1,0,0,3,7,1080,400,1953,98155,1580,8502
