id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,renovated,zipcode,sqft_living15,sqft_lot15,price_range
1257202120,20141030T000000,579100,2,1,1050,2712,1,0,Very Poor,OK,Average Quality And Design,828,279,1924,0,98103,1770,4089,(500000-600000]
3530210260,20141027T000000,274975,3,2.5,3028,45702,2,0,Very Poor,OK,Good Quality And Desgin,3044,0,1987,0,98077,3071,35857,(200000-300000]
1121000357,20140827T000000,1.09E+06,4,3,3424,6550,2,0,OK,OK,Good Quality And Desgin,2675,729,2007,0,98126,2319,6391,(1000000-1100000]
9492500010,20140606T000000,879950,4,2.75,3028,7248,2,0,Very Poor,OK,Good Quality And Desgin,3010,0,2014,0,98033,3019,7232,(800000-900000]
1823099076,20140820T000000,495000,3,2.5,1777,47657,2,0,Very Poor,OK,Average Quality And Design,1790,0,1995,0,98045,1870,52560,(400000-500000]
3220200040,20140616T000000,1.71E+06,3,3.25,2968,5445,3,0,Good,Good,Good Quality And Desgin,2454,505,1978,0,98109,4421,5568,(1700000-1800000]
8669180150,20150326T000000,300000,4,3,1975,4482,2,0,Very Poor,OK,Average Quality And Design,1975,0,2010,0,98002,2421,4485,(300000-400000]
2025760210,20140611T000000,657500,4,2.75,4148,24680,2,0,Very Poor,OK,Very High Quality and Design,4154,0,2002,0,98092,3969,24133,(600000-700000]
629650380,20150123T000000,255000,4,2.5,1646,6675,2,0,Very Poor,OK,Average Quality And Design,1675,0,2009,0,98001,1520,6044,(200000-300000]
5112800060,20140606T000000,455000,4,1.75,2040,95325,1,0,Very Poor,Good,Average Quality And Design,1235,808,1959,0,98058,2269,48004,(400000-500000]
7137900490,20150316T000000,203700,3,2,1646,7936,1,0,Very Poor,OK,Average Quality And Design,1127,505,1983,0,98092,1569,7657,(200000-300000]
3260000340,20140622T000000,732600,4,2.5,2105,7325,1,0,Very Poor,Good,Average Quality And Design,1235,886,1963,0,98005,2120,7598,(700000-800000]
6909200575,20150314T000000,685000,3,2,2040,2987,1.5,0,Very Poor,Excellent,Good Quality And Desgin,1344,729,1931,0,98144,1920,3881,(600000-700000]
7427800080,20150408T000000,626000,3,2.25,1839,5088,2,0,Very Poor,OK,Good Quality And Desgin,1825,0,1989,0,98033,1770,5468,(600000-700000]
3735900325,20150427T000000,485000,2,1,1050,4075,1,0,Very Poor,OK,Good Quality And Desgin,1086,0,1948,0,98115,1870,4089,(400000-500000]
7129300935,20141105T000000,415000,3,1.75,2370,5698,1,0,OK,Good,Good Quality And Desgin,1195,1191,1956,0,98118,2371,6547,(400000-500000]
3322049095,20150205T000000,240000,3,1,1710,19969,1.5,0,Very Poor,Good,Average Quality And Design,1675,0,1913,0,98001,1719,15699,(200000-300000]
2597000006,20150309T000000,347500,3,1.5,1180,8306,1,0,Very Poor,OK,Average Quality And Design,1195,0,1960,0,98155,1719,8775,(300000-400000]
7352200450,20150115T000000,2.05E+06,4,3.25,3556,19969,1.5,1,Excellent,Good,Average Quality And Design,3492,128,1915,1,98125,2421,6391,(2000000-2100000]
6154900095,20140711T000000,565000,4,1.75,2171,7071,1,0,Very Poor,Good,Average Quality And Design,1086,1028,1948,0,98177,1968,7165,(500000-600000]
1822069041,20141113T000000,400000,6,2,2305,211087,2,0,Very Poor,Good,Good Quality And Desgin,2305,0,1962,0,98058,2518,219063,(400000-500000]
9407001610,20140715T000000,271900,3,1.75,1910,11715,1,0,Very Poor,OK,Average Quality And Design,1235,653,1979,0,98045,1569,10950,(200000-300000]
8127700720,20150120T000000,905000,4,2.75,2700,4346,2,0,Poor,OK,Good Quality And Desgin,2714,0,2009,0,98199,2319,5011,(900000-1000000]
3860900111,20141202T000000,695000,5,1.75,1777,9255,2,0,Very Poor,Excellent,Good Quality And Desgin,1790,0,1952,0,98004,1819,9588,(600000-700000]
5358300100,20140619T000000,346150,3,2,2171,7207,1,0,Very Poor,Good,Good Quality And Desgin,1495,653,1966,0,98056,2071,7232,(300000-400000]
3296000110,20140602T000000,645000,4,2.5,2434,14652,1,0,Very Poor,Excellent,Good Quality And Desgin,1675,729,1963,0,98007,2120,9010,(600000-700000]
1939000010,20140619T000000,720000,4,2.5,2434,34157,2,0,Very Poor,OK,Good Quality And Desgin,2454,0,1987,0,98053,2869,38254,(700000-800000]
8820903380,20140728T000000,452000,6,2.25,2635,13869,2,0,Very Poor,OK,Average Quality And Design,2675,0,1937,1,98125,1120,8229,(400000-500000]
1332700010,20141216T000000,305000,2,2.25,1646,1980,2,0,Very Poor,Excellent,Average Quality And Design,1605,0,1979,0,98056,1968,1824,(300000-400000]
2525300540,20141114T000000,185000,3,1.5,1116,9639,1,0,Very Poor,Good,Bad Quality And Design,1086,0,1969,0,98038,1169,10508,(100000-200000]
6804600240,20150211T000000,417000,3,1.75,1910,9572,1,0,Very Poor,OK,Good Quality And Desgin,1455,505,1980,0,98011,1819,9469,(400000-500000]
1972200882,20140604T000000,586500,3,2.5,1777,1393,3,0,Very Poor,OK,Good Quality And Desgin,1605,199,2006,0,98107,1770,1357,(500000-600000]
9822700190,20140808T000000,1.28E+06,9,4.5,3622,5022,2,0,Very Poor,OK,Good Quality And Desgin,2530,1112,1915,1,98105,2518,5011,(1200000-1300000]
6127600036,20141105T000000,799000,4,2.75,2370,6806,2,0,Very Poor,Good,Average Quality And Design,2160,279,1945,0,98115,1968,6821,(700000-800000]
4447300008,20140923T000000,530000,3,1.5,1975,1980,3,0,Very Poor,OK,Good Quality And Desgin,1935,0,2002,0,98117,1569,2258,(500000-600000]
2436700315,20141014T000000,441500,2,1.75,989,4005,1.5,0,Very Poor,Excellent,Average Quality And Design,1014,0,1919,0,98105,1470,4026,(400000-500000]
6056111370,20141124T000000,340000,2,1.75,1251,1980,2,0,Very Poor,OK,Good Quality And Desgin,1270,0,2012,0,98108,1120,1824,(300000-400000]
5728000060,20140801T000000,605000,3,1.75,1839,8843,1,0,Very Poor,Good,Good Quality And Desgin,1386,505,1973,0,98008,1870,7598,(600000-700000]
2380000040,20140806T000000,390000,4,1.75,1910,76453,1,0,Very Poor,Good,Good Quality And Desgin,1899,0,1971,0,98042,2120,36927,(300000-400000]
