pos,id,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,zipcode,sqft_living15,sqft_lot15,price_range
1,4139910160,5,3.25,[4310-4510],[21510-37540],2,0,Very Poor,OK,Very High Quality and Design,>=4290,NoBasement,1990,98006,>=3913,[13651-14050],[1600000-1700000)
2,3123059107,3,2.5,[2903-3103],>=54863,1,0,Very Poor,Good,Good Quality And Desgin,[3040-3289],NoBasement,1987,98055,[2909-3159],[13651-14050],[500000-600000)
3,3904960150,3,2.5,[1898-2098],[6528-7278],2,0,Very Poor,OK,Good Quality And Desgin,[1790-2039],NoBasement,1989,98029,[1905-2155],[6051-6450],[500000-600000)
4,5100402767,3,1,[692-892],[5777-6527],1.5,0,Very Poor,Good,Average Quality And Design,[790-1039],NoBasement,1927,98115,[1152-1402],[6051-6450],[300000-400000)
5,1253200290,4,1.75,[1697-1897],[8781-9531],1,0,Very Poor,Good,Average Quality And Design,[1040-1289],[614-764],1963,98032,[1403-1653],[8851-9250],[200000-300000)
6,217500015,3,1.5,[1697-1897],[7279-8029],1,0,Very Poor,OK,Average Quality And Design,[1290-1539],[312-462],1958,98133,[1654-1904],[8051-8450],[300000-400000)
7,3810000860,4,1.5,[1898-2098],[7279-8029],1,0,Very Poor,OK,Good Quality And Desgin,[1790-2039],NoBasement,1955,98178,[1905-2155],[8451-8850],[200000-300000)
8,2926069062,3,2.5,[2903-3103],[21510-37540],1,0,Very Poor,OK,Good Quality And Desgin,[3040-3289],NoBasement,2004,98052,[1905-2155],[13651-14050],[800000-900000)
9,7212680860,3,2.5,[1697-1897],[8030-8780],2,0,Very Poor,OK,Good Quality And Desgin,[1540-1789],NoBasement,1994,98003,[1654-1904],[6851-7250],[200000-300000)
10,3856905010,3,1.5,[1496-1696],[3524-4274],1.5,0,Very Poor,Excellent,Average Quality And Design,[1290-1539],<=160,1930,98105,[1403-1653],[4051-4450],[500000-600000)
11,9528104345,3,2.25,[1094-1294],<=1269,2,0,Very Poor,OK,Average Quality And Design,[790-1039],[161-311],1999,98115,[1152-1402],[1051-1250],[400000-500000)
12,7203160190,5,4,[3908-4108],[8030-8780],2,0,Very Poor,OK,Good Quality And Desgin,[4040-4289],NoBasement,2011,98053,>=3913,[7251-7650],[900000-1000000)
13,6306100190,4,2.5,[2099-2299],[7279-8029],2,0,Very Poor,OK,Average Quality And Design,[2040-2289],NoBasement,1993,98001,[1654-1904],[7651-8050],[200000-300000)
14,5452800495,5,2.5,[2300-2500],[14751-21509],1,0,Very Poor,Good,Good Quality And Desgin,[1290-1539],[916-1066],1975,98040,[2407-2657],[13651-14050],[800000-900000)
15,2895600680,2,1.5,[692-892],[5026-5776],1,0,Very Poor,Excellent,Average Quality And Design,[790-1039],NoBasement,1951,98146,[1152-1402],[5251-5650],[300000-400000)
16,1509500380,4,2.5,[2501-2701],[9532-10282],2,0,Very Poor,OK,Good Quality And Desgin,[2540-2789],NoBasement,1994,98030,[2658-2908],[10051-10450],[300000-400000)
17,91000135,4,1.5,[1898-2098],[3524-4274],1.5,0,OK,OK,Average Quality And Design,[1540-1789],[463-613],1920,98103,[1152-1402],[3851-4050],[700000-800000)
18,2934800025,4,2,[1697-1897],[7279-8029],2,0,Very Poor,OK,Average Quality And Design,[1290-1539],[312-462],1956,98166,[1654-1904],[7651-8050],[300000-400000)
19,7140200450,4,2.75,[1697-1897],[7279-8029],1,0,Very Poor,Good,Average Quality And Design,[1040-1289],[463-613],1980,98030,[1654-1904],[7251-7650],[200000-300000)
20,461001435,4,1.75,[2300-2500],[4275-5025],1,0,Very Poor,OK,Good Quality And Desgin,[1290-1539],[1067-1217],1954,98117,[2156-2406],[4851-5250],[500000-600000)
21,1822300040,2,1.5,[893-1093],[2021-3523],1.5,0,Very Poor,Good,Bad Quality And Design,[1040-1289],NoBasement,1904,98144,[1152-1402],[1051-1250],[400000-500000)
22,2414600195,3,1,[1496-1696],[8030-8780],1,0,Very Poor,OK,Bad Quality And Design,[1040-1289],[463-613],1951,98168,[1152-1402],[8451-8850],[200000-300000)
23,8562891240,4,2.5,[1898-2098],[3524-4274],2,0,Very Poor,OK,Average Quality And Design,[1790-2039],NoBasement,2003,98042,[2407-2657],[4051-4450],[200000-300000)
24,9414610320,4,2.5,[2501-2701],[9532-10282],1,0,Very Poor,Good,Good Quality And Desgin,[1290-1539],[1218-1368],1974,98027,[2156-2406],[10451-10850],[400000-500000)
25,6791000050,3,2.75,[2099-2299],[11871-14750],1,0,Very Poor,Good,Good Quality And Desgin,[1290-1539],[765-915],1977,98075,[2156-2406],[13251-13650],[500000-600000)
26,2421069039,3,1.75,[1295-1495],>=54863,1,0,Very Poor,Good,Average Quality And Design,[1290-1539],NoBasement,1987,98010,[2156-2406],[13651-14050],[300000-400000)
27,1471630160,3,2,[1094-1294],[11871-14750],1,0,Very Poor,OK,Average Quality And Design,[1040-1289],NoBasement,1984,98045,[1403-1653],[13651-14050],[300000-400000)
28,9264921140,3,2.75,[1898-2098],[14751-21509],1,0,Very Poor,OK,Good Quality And Desgin,[1040-1289],[614-764],1984,98023,[2407-2657],[7651-8050],[300000-400000)
29,8637100370,3,2,[1295-1495],[5026-5776],2,0,Very Poor,OK,Bad Quality And Design,[1290-1539],NoBasement,1994,98055,[1152-1402],[4851-5250],[200000-300000)
30,8562700300,3,1.75,[893-1093],[8030-8780],1,0,Very Poor,OK,Average Quality And Design,[1040-1289],NoBasement,1966,98052,[1403-1653],[7651-8050],[500000-600000)
31,3526039116,3,1.75,[1898-2098],[5777-6527],1,0,Very Poor,Good,Good Quality And Desgin,[1040-1289],[765-915],1951,98117,[1905-2155],[6851-7250],[500000-600000)
32,8121100395,4,1.5,[1496-1696],[5777-6527],1.5,0,Very Poor,OK,Bad Quality And Design,[1540-1789],NoBasement,1946,98118,[1403-1653],[6051-6450],[400000-500000)
33,9113200020,3,2.5,[2300-2500],[5026-5776],2,0,Very Poor,OK,Good Quality And Desgin,[2290-2539],NoBasement,2000,98052,[2407-2657],[5651-6050],[700000-800000)
34,4324210120,3,2.5,[1496-1696],[14751-21509],1,0,Very Poor,OK,Average Quality And Design,[1040-1289],[312-462],1994,98031,[1403-1653],[8451-8850],[200000-300000)
35,868002080,4,2.25,[2300-2500],[5777-6527],1,0,OK,OK,Good Quality And Desgin,[1290-1539],[916-1066],1959,98177,[3160-3410],[8451-8850],[800000-900000)
36,2887700805,2,1,[1496-1696],[4275-5025],1,0,Very Poor,OK,Average Quality And Design,[1040-1289],[312-462],1946,98115,[1403-1653],[4051-4450],[400000-500000)
37,3705900292,3,2,[1697-1897],[8781-9531],1,0,Very Poor,OK,Good Quality And Desgin,[1290-1539],[312-462],1989,98133,[1654-1904],[7651-8050],[400000-500000)
38,1545808560,3,2.5,[1496-1696],[8030-8780],1,0,Very Poor,Excellent,Average Quality And Design,[790-1039],[463-613],1996,98038,[1654-1904],[8051-8450],[200000-300000)
39,5536100020,3,2,[2099-2299],[14751-21509],1,0,Very Poor,OK,Good Quality And Desgin,[2040-2289],NoBasement,1951,98004,[2156-2406],[9651-10050],[1100000-1200000)
