Int32,String,Double,Int32,Double,Double,Double,Double,Boolean,Int32,Int32,Int32,Double,Double,Int32,Int32,Double,Double,,
pos,id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,zipcode,sqft_living15,sqft_lot15,,
1,4139910160,1.60E+06,5,3.25,4320,32840,2,0,0,3,12,4320,0,1990,98006,4410,33210,,
2,3123059107,555000,3,2.5,3050,158558,1,0,0,4,9,3050,0,1987,98055,2960,31050,,
3,3904960150,535000,3,2.5,1970,6634,2,0,0,3,8,1970,0,1989,98029,2090,6176,,
4,5100402767,397000,3,1,860,6380,1.5,0,0,4,7,860,0,1927,98115,1250,6380,,
5,1253200290,265000,4,1.75,1860,9112,1,0,0,4,7,1110,750,1963,98032,1570,9112,,
6,217500015,394999,3,1.5,1730,7800,1,0,0,3,7,1330,400,1958,98133,1780,8309,,
7,3810000860,240000,4,1.5,1920,7973,1,0,0,3,8,1920,0,1955,98178,2020,8840,,
8,2926069062,840000,3,2.5,3050,33920,1,0,0,3,8,3050,0,2004,98052,1970,60984,,
9,7212680860,297262,3,2.5,1730,8076,2,0,0,3,8,1730,0,1994,98003,1780,6930,,
10,3856905010,565000,3,1.5,1540,3570,1.5,0,0,5,7,1490,50,1930,98105,1620,4080,,
11,9528104345,475000,3,2.25,1190,1137,2,0,0,3,7,960,230,1999,98115,1190,1080,,
12,7203160190,950000,5,4,4100,8120,2,0,0,3,9,4100,0,2011,98053,4100,7625,,
13,6306100190,220000,4,2.5,2160,8005,2,0,0,3,7,2160,0,1993,98001,1790,8016,,
14,5452800495,899100,5,2.5,2410,15300,1,0,0,4,8,1400,1010,1975,98040,2440,15300,,
15,2895600680,335950,2,1.5,800,5192,1,0,0,5,7,800,0,1951,98146,1190,5320,,
16,1509500380,379000,4,2.5,2570,10155,2,0,0,3,9,2570,0,1994,98030,2770,10155,,
17,91000135,750000,4,1.5,2060,4000,1.5,0,2,3,7,1580,480,1920,98103,1160,4000,,
18,2934800025,353750,4,2,1710,7490,2,0,0,3,7,1320,390,1956,98166,1880,7704,,
19,7140200450,272000,4,2.75,1810,7350,1,0,0,4,7,1200,610,1980,98030,1750,7350,,
20,461001435,566000,4,1.75,2440,5000,1,0,0,3,8,1340,1100,1954,98117,2170,5000,,
21,1822300040,420000,2,1.5,1040,3500,1.5,0,0,4,6,1040,0,1904,98144,1340,1213,,
22,2414600195,210000,3,1,1520,8600,1,0,0,3,6,1040,480,1951,98168,1320,8600,,
23,8562891240,299950,4,2.5,1900,4054,2,0,0,3,7,1900,0,2003,98042,2520,4085,,
24,9414610320,463000,4,2.5,2680,9928,1,0,0,4,8,1340,1340,1974,98027,2180,10478,,
25,6791000050,550000,3,2.75,2230,14400,1,0,0,4,8,1460,770,1977,98075,2200,13280,,
26,2421069039,340000,3,1.75,1340,196020,1,0,0,4,7,1340,0,1987,98010,2250,232230,,
27,1471630160,353000,3,2,1210,14499,1,0,0,3,7,1210,0,1984,98045,1570,15360,,
28,9264921140,300000,3,2.75,1910,15508,1,0,0,3,8,1210,700,1984,98023,2450,7989,,
29,8637100370,252000,3,2,1340,5670,2,0,0,3,6,1340,0,1994,98055,1290,4892,,
30,8562700300,542000,3,1.75,1070,8030,1,0,0,3,7,1070,0,1966,98052,1540,7875,,
31,3526039116,549000,3,1.75,2000,6130,1,0,0,4,8,1120,880,1951,98117,2140,7150,,
32,8121100395,425000,4,1.5,1600,6180,1.5,0,0,3,6,1600,0,1946,98118,1410,6180,,
33,9113200020,717000,3,2.5,2480,5137,2,0,0,3,9,2480,0,2000,98052,2480,6023,,
34,4324210120,282000,3,2.5,1680,15711,1,0,0,3,7,1240,440,1994,98031,1420,8588,,
35,868002080,899000,4,2.25,2370,6000,1,0,2,3,8,1440,930,1959,98177,3280,8843,,
36,2887700805,458950,2,1,1530,4370,1,0,0,3,7,1130,400,1946,98115,1580,4275,,
37,3705900292,420000,3,2,1750,9239,1,0,0,3,8,1410,340,1989,98133,1720,7874,,
38,1545808560,245000,3,2.5,1530,8500,1,0,0,5,7,1030,500,1996,98038,1850,8140,,
39,5536100020,1.19E+06,3,2,2160,15788,1,0,0,3,8,2160,0,1951,98004,2260,9787,,
40,2895800610,352800,4,2.25,1800,2752,2,0,0,3,8,1800,0,2014,98106,1650,2752,,
41,5381000072,349950,5,3,2257,10117,1,0,0,3,8,1363,894,2005,98188,1540,10700,,
42,2141200030,625000,3,2.5,2000,6341,1,0,0,5,8,1040,960,1981,98116,2030,6341,,
43,624111000,950000,3,3,4040,14338,2,0,0,3,10,3030,1010,1986,98077,3360,14142,,
44,2607720440,470000,3,2.5,1980,9725,2,0,0,3,8,1980,0,1994,98045,2070,9834,,
45,3905090080,642000,4,2.5,2560,8780,2,0,0,3,9,2560,0,1992,98029,2780,8357,,
46,1545801340,261000,3,1.75,1350,7686,1,0,0,3,7,1350,0,1987,98038,1370,7686,,
47,2473460860,260000,4,2.5,2110,8990,2,0,0,3,8,2110,0,1977,98058,2040,8800,,
48,3295610490,911000,4,3.25,3526,15958,2,0,0,3,10,3526,0,1997,98075,3639,15090,,
49,3034200885,290000,2,1,1340,9840,1,0,0,3,7,1340,0,1949,98133,1610,8949,,
50,2397101075,782000,2,1.5,1570,3600,1.5,0,2,4,7,1320,250,1906,98119,2140,3600,,
51,3291800660,406000,3,1.75,1390,7904,1,0,0,3,7,1390,0,1985,98056,1910,7904,,
52,4053200926,357000,4,2.75,2700,49428,1,0,0,4,9,2700,0,1988,98042,2728,85905,,
53,1151100070,437000,3,2.5,1750,22357,2,0,0,3,8,1750,0,1994,98045,2430,22357,,
54,7203100550,660000,3,2.75,2210,4000,2,0,0,3,8,2210,0,2008,98053,2230,4674,,
55,7905200386,410000,3,1,1020,6903,1,0,0,3,7,1020,0,1951,98116,1440,6678,,
56,518500210,868500,3,2.5,2920,3942,3,0,0,3,10,2920,0,2008,98056,2920,3942,,
57,7215730410,727000,4,3,3150,9703,2,0,0,3,9,3150,0,2001,98075,3150,8819,,
58,7202330530,479000,3,2.5,1690,3322,2,0,0,3,7,1690,0,2003,98053,1650,3446,,
59,7338401759,268000,2,1,1380,5000,1,0,0,3,7,870,510,1943,98108,1450,5000,,
60,11501310,715000,3,3.25,3060,9055,2,0,0,3,10,2460,600,1994,98052,2990,9598,,
61,3326069026,600000,3,1.75,2340,57499,1,0,0,3,8,2340,0,1988,98053,3260,137649,,
62,5015001680,427000,4,1,1860,4736,1.5,0,0,1,7,1860,0,1901,98112,1800,4000,,
